ali	3147
h@@	1578
douk	1439
umu	1307
na@@	1223
ch@@	1190
i@@	1186
o@@	1077
k@@	1008
a@@	1005
uli	1000
u	991
e@@	981
l@@	974
m@@	969
al@@	955
p@@	910
g@@	873
t@@	872
b@@	869
s@@	864
ny@@	851
u@@	845
nu	838
w@@	706
s	684
eke	678
at@@	661
jisas	645
ag@@	644
ul@@	630
ech	627
nu@@	614
chu@@	602
ak@@	575
h	568
anan	563
i	560
en	537
ab@@	533
y@@	529
ana@@	529
e	507
uk	506
ipak	505
uk@@	503
pu@@	497
ech@@	476
m	460
d@@	457
r@@	454
ne@@	451
uh	449
nakli	446
god	437
a	427
balan	417
elpech	400
ha@@	391
wo@@	389
ig@@	386
amam	383
eny@@	381
ma@@	378
k	374
wa@@	373
ip@@	370
wak	360
nubu	357
yek	354
naklip@@	349
il@@	347
no@@	343
imu	342
echech	342
mu	338
ap@@	333
wakuli	332
ul	332
nyu@@	332
tu	331
kobi	330
ai@@	318
ak	317
ei@@	310
anani@@	310
b	309
in	301
pe	298
sa@@	297
wi@@	296
anu	293
udak	292
p	290
nebe@@	280
namudak	276
nek	273
g	273
enyudak	260
nyak	258
j@@	255
o	251
wata	249
li	248
echudak	246
hw@@	244
um@@	240
ol@@	240
ik@@	239
ik	239
uke@@	231
chi	230
nape	228
aki@@	226
t	225
ene@@	225
cha@@	224
ni@@	217
nak	214
am	214
akli	213
wich	212
wo	206
do@@	206
nyi	205
enek	205
mo@@	199
hu@@	199
ad@@	198
chopuk	195
un	194
n@@	194
ud@@	192
ti@@	189
n	188
eh	188
yo@@	186
ih	185
enen	185
v@@	184
yow@@	179
ah@@	174
ye@@	173
anudak	173
og@@	171
emu	171
ok@@	167
oglu	166
nat@@	165
nali	165
lu@@	164
am@@	163
nanak	161
be@@	160
wolobai@@	159
ulu@@	159
ich	159
-@@	159
enyi	158
nal@@	157
chape	157
amu	153
ut@@	151
nug@@	151
go@@	151
atu@@	151
ch	149
moneken	148
hanak	148
as	148
kw@@	147
epu	147
agundak	147
ananin	146
enech	145
lo@@	144
nek@@	143
alman	143
ih@@	142
nyum@@	141
nenek	140
buk	140
ananu	140
lip@@	138
bl@@	137
ananim	137
mnek	135
nak@@	134
aklip@@	133
sal@@	132
nyul@@	132
anamu	132
hat@@	131
su@@	129
pa@@	129
eyo@@	128
ati	128
anaki	128
wilpat	127
disaipel	127
ta@@	126
wak@@	124
naki	124
yopi@@	122
ey@@	121
anatimaguk	119
hakli	118
hape	116
ek@@	116
iy@@	115
echebuk	115
cho@@	115
anak	115
moul	114
itak	114
gun	113
chat@@	112
abuk	112
abal	112
kwi@@	111
bi@@	111
nam@@	110
pi@@	107
un@@	106
w	105
f@@	98
wol@@	89
ama@@	88
elp@@	85
ala@@	85
ogl@@	83
alma@@	83
l	82
maguk	80
‘	78
al	77
wat@@	75
isa@@	75
bu	70
’	69
ep@@	68
an@@	67
at	61
neken	59
timaguk	51
anak@@	49
tak	45
ob@@	45
1@@	38
0@@	37
guk	34
el	31
ebuk	31
2@@	26
7@@	14
5@@	11
[	9
3@@	9
dak	8
]	8
0	8
v	7
agun@@	7
wilp@@	6
6@@	6
puk	5
4@@	5
bala@@	4
8@@	4
lp@@	3
wolob@@	2
9@@	2
3	2
2	2
1	2
r	1
d	1
